Parent,Entity,Label
Thing,Drumhead,Generic drum head class
Thing,Plies,Number of plies a drum head has
Plies,OnePly,One-ply drum heads
Plies,TwoPly,Two-ply drum heads
Plies,ThreePly,Three-ply drum heads
Thing,Surface,The kind of surface a drum head has
Surface,Coated,Coated drum heads
Surface,Clear,Drum heads without coatings
Surface,Suede,Drum heads with suede surfaces
Surface,Ebony,Drum heads with ebony surfaces
Surface,SimulatedSkin,Drum heads with simulated skin surfaces
Surface,Frosted,Drum heads with frosty surfaces
Surface,Hazy,Drum heads with hazy surfaces
Surface,Etched,Drum heads with etched surfaces
Thing,Dampening,Drum heads with built-in dampening
Dampening,InlayRing,Drum heads with inlay rings
Dampening,Dot,Drum heads with center dot
Dot,CenterDot,Drum heads with a top center dot
Dot,ReverseDot,Drum heads with a dot under the main pl(y|ies)
Dampening,Holes,Drum heads with holes drilled in them
Dampening,Ring,Drum heads with dampening rings
Dampening,Oil,Drum heads with an oil layer
Thing,Cymbal,Generic cymbal class
Cymbal,Crash,Crash cymbals
Cymbal,Ride,Ride cymbals
Cymbal,FlatRide,Ride cymbals with flattened bell
Cymbal,Splash,Splash cymbals
Cymbal,HiHat,Hi-hat cymbals
Cymbal,China,China cymbals
China,Pang,Pang cymbals
China,Swish,Swish cymbals
China,Lion,Lion china cymbals
Cymbal,Efx,Miscellaneous effects cymbals
Cymbal,Gong,Gongs
Gong,TamTam,Tam-tams
Gong,NippleGong,Nipple gongs
Thing,Alloy,The bronze or brass alloy from which a cymbal is made
Alloy,Brass,Brass
Alloy,B8,"B8 alloy (92% copper, 8% tin)"
Alloy,B10,"B10 alloy (90% copper, 10% tin)"
Alloy,B20,"B20 alloy (80% copper, 20% tin)"
Thing,Weight,The weight of the cymbal
Weight,PaperThin,Extremely thin cymbals
Weight,Thin,Thin cymbals
Weight,MediumThin,Medium-thin cymbals
Weight,Medium,Medium cymbals
Weight,MediumHeavy,Medium-heavy cymbals
Weight,Heavy,Heavy cymbals
Thing,Lathing,Lathing or lack thereof on a cymbal
Lathing,Unlathed,A cymbal that has not been lathed
Lathing,Lathed,A cymbal that has been lathed
Lathing,Hybrid,A cymbal that is partially lathed
Thing,Manufacturer,The drum head or cymbal manufacturer
Manufacturer,Remo,Remo
Manufacturer,Evans,Evans (Dâ€™Addario)
Manufacturer,Aquarian,Aquarian
Manufacturer,Other,Other manufacturer
Manufacturer,Bosphorus,Bosphorus
Manufacturer,Istanbul,Istanbul
Manufacturer,Dream,Dream
Manufacturer,Meinl,Meinl
Manufacturer,Sabian,Sabian
Manufacturer,Zildjian,Avedis Zildjian company
Manufacturer,Paiste,Paiste
Manufacturer,Wuhan,Wuhan
Manufacturer,Stagg,Stagg
